question,answer
 چه نمایی از ساختار مولکول دنا توسط این مدل ارائه می‌شود؟, این مدل نمایی از ساختار مولکول دنا به عنوان دو رشته پلی نوکلئوتیدی که پیچیده شده و به شکل مارپیچ دو رشته‌ای درآمده‌اند، ارائه می‌کند.
 چگونه پیوندهای هیدروژنی دو رشته دنا را به هم متصل می‌کنند؟, پیوندهای هیدروژنی دو رشته را بازه به بازه نگه می‌دارند.
 بازهای مکمل در دنا چه نقشی ایفا می‌کنند؟, بازهای مکمل جفت بازهای مخالف در تشکیل دو رشته را دارند.
 چرا گوانین با تیمین به صورت اختصاصی تشکیل می‌شوند؟, پیوندهای هیدروژنی بازه G با T ایجاد می‌شود.
 چرا آدنین به G و C مکمل می‌شود؟, آدنین به G و C به عنوان بازهای مکمل می‌پیوندد.
 چرا بین C و G پیوند هیدروژنی بیشتری تشکیل می‌شود؟, پیوند هیدروژنی C و G به علت تعداد پیوندهای هیدروژنی بیشتر قوی‌تر است.
 چرا مکمل بودن بازهای آلی نتایج آزمایش چارگاف T و A را تأیید می‌کند؟, آزمایش چارگاف نشان داد T و A جفت بازهای مکمل هستند.
 چگونه قرارگیری جفت بازها در دنا به پایداری مولکول کمک می‌کند؟, قرارگیری جفت بازها باعث ثابت ماندن قطر مولکول شده و پایداری اطلاعات آن را تضمین می‌کند.
 چرا ثابت ماندن قطر دنا مهم است؟, ثابت ماندن قطر دنا باعث پایداری اطلاعات و تأثیر مؤثر در فشرده‌تر شدن فام تن‌ها می‌شود.
 چگونه جفت شدن بازه‌های مکمل در دنا تشکیل ترتیبی یکسان برای نوکلئوتیدها دارد؟, جفت شدن بازه‌های مکمل باعث تشکیل ترتیبی معکوس در رشتهٔ مکمل (ATGC) می‌شود؛ مثلا TACG به ترتیب TGCA.
 چه نتیجه‌ای از ترتیب نوکلئوتیدها در یک رشته می‌توان به ترتیب نوکلئوتیدهای رشتهٔ مکمل انتقال داد؟, ترتیب نوکلئوتیدها در یک رشته ترتیب نوکلئوتیدهای رشتهٔ مکمل را مشخص می‌کند؛ به عنوان مثال TACG معادل TGCA در رشتهٔ مکمل است.
 چگونه پیوندهای هیدروژنی بین نوکلئوتیدها در دنا به پایداری مولکول کمک می‌کنند؟, برقراری پیوندهای هیدروژنی بین نوکلئوتیدها، از هزاران یا میلیون‌ها نوکلئوتید تشکیل شده، پایداری مولکول دنا را افزایش می‌دهد.
 چطور ممکن است دو رشته دنا در موقع نیاز از هم جدا شوند؟, در برخی نقاط، پیوندهای هیدروژنی می‌توانند کمرنگ شده و دو رشته دنا از هم جدا شوند؛ این امر برای انجام وظایف مختلف ضروری است.
 رنا چگونه از دنا متمایز می‌شود و چه وظایفی انجام می‌دهد؟, رنا از بخش‌های رشته دنا ساخته می‌شود و وظایف متعددی از جمله انتقال اطلاعات از دنا به رناتن‌ها و پروتئین‌سازی توسط رنای پیک، نقل آمینواسیدها با رنای ناقل و شرکت در ساختار رناتن‌ها با رنای رناتنی دارد.
 چه نقشی در ساخت پروتئین دارند؟, رنای پیک (mRNA) اطلاعات ژنتیکی از دنا به رناتن‌ها منتقل می‌کند، که توسط آن پروتئین‌ها ساخته می‌شوند.
 چگونه ترجمه پروتئینی در رناها اتفاق می‌افتد؟, ترجمه پروتئینی توسط رنای پیک (mRNA) با همکاری رنای ناقل (tRNA) انجام می‌شود.
 نقش rRNA در رناتن چیست؟, rRNA در ساختار رناتن‌ها شرکت دارد و همچنین در ترجمه پروتئین‌ها نقش دارد.
 ژن چیست و کجا قرار دارد؟, ژن بخشی از مولکول دنا است که می‌تواند به تولید رنا یا پلی‌پپتید منجر شود و در ساختار دنا قرار دارد.
 چه وظایفی دارد و چگونه اطلاعات وراثتی را منتقل می‌کند؟, ژن‌ها اطلاعات وراثتی را ذخیره و به نسل‌های بعدی منتقل می‌کنند.
 چگونه ژن‌ها به تولید رنا یا پلی‌پپتید منجر می‌شوند؟, ژن‌ها با ترجمه به رنا یا با تولید پلی‌پپتید از طریق فرآیندهای بیان ژنی، دستورالعمل‌های دنا را اجرا می‌کنند.
 نقش آدنوزین‌تری فسفات (ATP) در یاخته چیست؟, ATP منبع انرژی رایج در یاخته است و در فعالیت‌های مختلف سلولی استفاده می‌شود.
 چگونه نوکلئوتیدها در نقل الکترون در فرایندهای فتوسنتز و تنفس یاخته‌ای نقش دارند؟, نوکلئوتیدها در مولکول‌هایی وارد می‌شوند که در نقل الکترون در فرایندهای فتوسنتز و تنفس یاخته‌ای نقش ناقل الکترون را بر عهده دارند.
 چگونه اطلاعات وراثتی بدون کاهش به دو یاخته در تقسیم سلولی منتقل می‌شوند؟, این اطلاعات از طریق همانندسازی دنا به دو یاخته منتقل می‌شوند.
 چه نامی به ساختن مولکول دنای جدید از روی دنای قدیمی گفته می‌شود؟, همانندسازی دنا یا Replication.
 چرا مدل واتسون و کریک وجود رابطهٔ مکملی بین بازهای دنا را برای همانندسازی دنا توجیه می‌کند؟, این مدل تا حد زیادی توضیح می‌دهد چرا بازهای دنا مکمل یکدیگر هستند و چگونه اطلاعات به دو یاخته منتقل می‌شود.
 چگونه همانندسازی حفاظتی در دنا توصیف می‌شود؟, در این طرح، دو رشته از دنا به صورت دست‌نخورده حفظ می‌شوند و هر کدام وارد یک یاخته می‌شوند.
 توضیح دهید چگونه در همانندسازی نیمه حفاظتی دنا رخ می‌دهد؟, در این روش، در هر یاخته، یکی از دو رشته دنای اولیه حفظ می‌شود و رشتهٔ دیگر با استفاده از نوکلئوتید‌های جدید ساخته می‌شود.
 توضیح دهید چگونه در همانندسازی غیر حفاظتی (پراکنده) دنا رخ می‌دهد؟, در این روش، در هر دو دنای حاصل از تقسیم، قطعاتی از رشته‌های قبلی (دنای اولیه) و همچنین رشته‌های جدید به صورت پراکنده در خود دارند.
 چگونه مزلسون و استال به تصمیم گیری دربارهٔ همانندسازی دنا پرداختند؟, مزلسون و استال با طراحی آزمایشی و به کارگیری نشانه‌گذاری با نوکلئوتید‌های حاوی ایزوتوپ سنگین نیتروژن (۱۵N)، توانستند رشته‌های دنای جدید (نوساز) را از رشته‌های قدیمی (۱۵N) تشخیص دهند و بررسی کنند کدام رشته در هر یاخته حاصل از تقسیم و می‌تواند به همانندسازی‌های مختلف اشاره داشته باشد.
 چگونه مزلسون و استال از نوکلئوتیدهای حاوی ایزوتوپ سنگین نیتروژن استفاده کردند؟, با استفاده از نوکلئوتیدهای حاوی ایزوتوپ سنگین نیتروژن (۱۵N) در رشته‌های دنا، مزلسون و استال توانستند دناهای نوساز را از دناهای قدیمی تمایز دهند و از طریق تکنیک‌های مانند سانتریفیوژ سرعت بالا آنها را جدا کنند.
 چگونه مزلسون و استال از نوکلئوتیدهای حاوی ایزوتوپ سنگین نیتروژن (۱۵N) در محیط کشت باکتری‌ها استفاده کردند؟, آنها با نشانه گذاری باکتری‌ها با نوکلئوتیدهای حاوی ایزوتوپ سنگین نیتروژن (۱۵N) و اجازه دادن به آنها برای رشد و تکثیر در محیطی حاوی این نوکلئوتیدها، باکتری‌هایی تولید کردند که دنای سنگین‌تری نسبت به باکتری‌های اولیه داشتند.
 چگونه باکتری‌ها به محیط کشت حاوی نوکلئوتیدهای ۱۴N منتقل شدند و بررسی انجام شد؟, باکتری‌ها به محیط کشت حاوی نوکلئوتیدهای ۱۴N منتقل شدند.
 چگونه چگالی دناها در هر فاصلهٔ زمانی اندازه‌گیری شد؟, دنای باکتری‌ها استخراج شد و در محلولی از سزیم کلرید با سرعت بسیار بالا گریز دادند تا چگالی آنها در هر فاصلهٔ زمانی سنجیده شود.
 نتایج آزمایش مزلسون و استال چه نتایجی نشان می‌دهند؟, نتایج آزمایش نشان می‌دهد که همانندسازی دنا در این موارد نیمه حفاظتی است.
 چگونه دو رشته دنا از یکدیگر باز می‌شوند؟, تحقیقات نشان داده که در محلی که همانندسازی انجام می‌شود، دو رشته دنا باز می‌شوند.
 عوامل مهم همانندسازی چیستند؟, عوامل مهم همانندسازی شامل:
 چه مراحلی در همانندسازی دنا وجود دارد؟, مراحل همانندسازی دنا شامل:
 کدام آنزیم در باز کردن مارپیچ دنا در همانندسازی نقش دارد؟, آنزیم هلیکاز ۱ در باز کردن مارپیچ دنا در همانندسازی نقش دارد.
 آنزیم هلیکاز چه پیوندهایی را در باز کردن دو رشته دنا از هم جدا می‌کند؟, آنزیم هلیکاز به وسیلهٔ پیوندهای هیدروژنی میان نوکلئوتیدها، پیوندهای هیدروژنی بین جفت‌شده‌ی آدنین و تیمین را از هم جدا می‌کند.
 آیا آنزیم دنابسپاراز ۲ پلی مراز در همانندسازی دنا نقش دارد؟, آنزیم دنابسپاراز ۲ پلی مراز در جفت کردن نوکلئوتیدهای مکمل با نوکلئوتیدهای رشته الگو در همانندسازی دنا نقش دارد.
 در محلی که دو رشته دنا از هم جدا می‌شوند، دوراهی همانندسازی چگونه اتفاق می‌افتد؟, در دوراهی همانندسازی، دو ساختار به وجود می‌آید که هریک به آنها دوراهی همانندسازی گفته می‌شود.
 دنابسپاراز چه وظایفی در همانندسازی دنا دارد؟, فعالیت بسپارازی و ویرایش نوکلئازی برای مکمل‌سازی و اصلاح نوکلئوتیدها.
 چرا آنزیم دنابسپاراز ویرایش نوکلئوتیدها انجام می‌دهد؟, برای رفع اشتباهات در همانندسازی و جلوگیری از تغییر نادرست نوکلئوتید.
 توانایی بریدن دنا توسط آنزیم دنابسپاراز چه نام دارد؟, فعالیت نوکلئازی یا ویرایش دنابسپاراز.
 مکمل‌سازی دنا در پیش هسته‌ای‌ها چگونه انجام می‌شود؟, در سیتوپلاسم، رشته الگو مکمل نوکلئوتید‌های آماده را به ترتیب پیوند می‌دهد.
 چگونه پیش‌هسته‌ای‌ها از یوکاریوت‌ها در مورد مکمل‌سازی دنا متفاوتند؟, در پیش‌هسته‌ای‌ها دنا در سیتوپلاسم حلقوی و بدون هسته قرار دارد.
 چگونه دنا در یوکاریوت‌ها سازمان‌دهی شده است؟, دنای هسته‌ای در فام تن خطی و با هیستون‌ها درون هسته قرار دارد.
 دنای سیتوپلاسمی در کجا وجود دارد؟, دنای سیتوپلاسمی در راکیزه و سبزدیسه یافت می‌شود.
 چگونه همانندسازی در پیش هسته‌ای‌ها اتفاق می‌افتد؟, همانندسازی در پیش هسته‌ای‌ها از یک نقطه آغاز می‌شود و به دو جهت ادامه پیدا می‌کند.
 چه ویژگی‌ای در باکتری‌ها در مورد همانندسازی دو جهتی وجود دارد؟, در باکتری‌ها همانندسازی دو جهتی از یک نقطه آغاز شده و به دو جهت ادامه می‌یابد.
 چرا همانندسازی در هو هسته‌ای‌ها پیچیده‌تر است؟, به دلیل وجود زیاد دنا و چندین فام تن در هو هسته‌ای‌ها، همانندسازی زمان‌برتر است.
 چرا در هو هسته‌ای‌ها آغاز همانندسازی در چندین نقطه انجام می‌شود؟, به دلیل وجود مقادیر زیاد دنا و چندین فام تن، همانندسازی در چندین نقطه آغاز می‌شود تا زمان همانندسازی کاهش یابد.
 چرا تعداد نقاط آغاز همانندسازی در هو هسته‌ای‌ها متغیر است؟, به تنظیم سرعت تقسیم یاخته‌ها و مراحل رشد و نمو، تعداد نقاط آغاز همانندسازی در هو هسته‌ای‌ها متغیر است.
 چرا در دوران جنینی تعداد نقاط آغاز همانندسازی زیاد است؟, در مراحل مورولا و بلاستولا با تقسیم سریع یاخته‌ها، تعداد نقاط آغاز همانندسازی افزایش می‌یابد.
 نقش پروتئین‌ها در یاخته‌ها چیست؟, پروتئین‌ها در فرایندهای مختلف یاخته‌ای نقش کلیدی دارند.
 چگونگی تشکیل آمینواسیدها و ساختار آنها را توضیح دهید., آمینواسیدها از گروه‌های آمین و کربوکسیل بر روی یک کربن مرکزی تشکیل می‌شوند، و تنوع ویژگی‌ها در R گروه واقع شده تعیین می‌شود.
 چگونگی تأثیر آمینواسیدها در شکل دهی پروتئین‌ها است؟, ویژگی‌های شیمیایی گروه R در هر آمینواسید باعث تأثیر در ساختار و شکل پروتئین‌ها می‌شود.
 چگونه پیوند پپتیدی بین آمینواسیدها شکل می‌گیرد؟, در محیط آبی، گروه‌های آمین و کربوکسیل آمینواسیدها با یکدیگر واکنش سنتز آبدهی انجام داده و با ایجاد پیوند پپتیدی با هم اتصال می‌یابند.
 چگونه زنجیره‌های پلی پپتید تشکیل می‌شوند؟, آمینواسیدها با پیوندهای پپتیدی به یکدیگر متصل می‌شوند و زنجیره‌ای به نام پلی پپتید شکل می‌گیرد که اساس پروتئین‌ها را تشکیل می‌دهد.
 چرا ترتیب آمینواسیدها در پروتئین‌ها مهم است؟, ترتیب آمینواسیدها تعیین کننده ساختار و عملکرد پروتئین‌ها است و توسط روش‌های شیمیایی تعیین می‌شود.
 چرا تنها ۲۰ نوع از آمینواسیدها در ساختار پروتئین‌ها استفاده می‌شوند؟, این ۲۰ آمینواسید اساسی برای ساختار و عملکرد پروتئین‌ها مهمند؛ ۸ از آنها برای انسان ضروری هستند و باید از غذا تأمین شوند.
 چگونه ساختار فضایی پروتئین تعیین می‌شود؟, استفاده از پرتوهای ایکس و روش‌های دیگر به ما ساختار سه‌بعدی پروتئین‌ها را نشان می‌دهد و مکان اتم‌ها را تعیین می‌کند.
 نقش میوگلوبین در بدن چیست؟, میوگلوبین پروتئینی است که در حمل اکسیژن در خون نقش دارد.
 پروتئین‌ها چهار سطح ساختاری دارند؟, پروتئین‌ها در سطوح ساختاری اولیه، دومی، سومی و چهارمی بررسی می‌شوند؛ هر سطح بالاتر بر مبنای ساختار پایینی تشکیل می‌شود.
 ساختار اول پروتئین چگونه تشکیل می‌شود؟, ساختار اول پروتئین با ترتیب خطی آمینواسیدها و ایجاد پیوندهای پپتیدی شکل می‌گیرد.
 چگونه تغییر در توالی آمینواسیدها ساختار اول پروتئین را تغییر می‌دهد؟, تغییر در توالی آمینواسیدها تغییر در ساختار اول پروتئین ایجاد می‌کند و ممکن است فعالیت آن را تغییر دهد.
 چرا توالی آمینواسیدها در ساختار اول پروتئین مهم است؟, توالی آمینواسیدها در ساختار اول پروتئین تاثیر بسزایی بر روی نوع، تعداد، ترتیب و تکرار آمینواسیدها دارد و از اهمیت ویژه‌ای برای تشکیل ساختارهای دیگر پروتئین دارد.
 چه عواملی باعث تشکیل ساختار دوم پروتئین می‌شوند؟, پیوندهای هیدروژنی بین بخش‌های زنجیره پلی پپتیدی، به صورت مارپیچ یا صفحه‌ای، عامل اصلی تشکیل ساختار دوم پروتئین می‌باشند.
 چگونه ساختار دوم پروتئین‌ها شکل می‌گیرد؟, پیوندهای هیدروژنی بین بخش‌های زنجیره پپتیدی مارپیچی یا صفحه‌ای، ساختار دوم پروتئین‌ها را شکل می‌دهند.
 چه نمونه‌هایی از پروتئین‌ها ساختار دوم مارپیچی دارند؟, هموگلوبین، با تشکیل زنجیره‌های پپتیدی مارپیچی، ساختار دوم خود را شکل می‌دهند.
 چگونه ساختار سوم پروتئین‌ها شکل می‌گیرد؟, ساختار سوم با تاخوردگی بیشتر صفحات و مارپیچ‌های ساختار دوم، به شکل کروی درآمده و با تشکیل پیوندهای آب گریز و هیدروژنی، تثبیت می‌شود.
 چطور پیوندها در ساختار سوم پروتئین‌ها تشکیل می‌شوند؟, گروه‌های آمینواسیدهای آب گریز با تشکیل پیوندهای هیدروژنی، اشتراکی و یونی در ساختار سوم پروتئین به هم متصل می‌شوند.
 چرا ساختار سوم پروتئین‌ها مهم است؟, ساختار سوم پروتئین‌ها تعیین‌کننده ویژگی‌ها و عملکرد آنهاست؛ تغییرات کوچک در این ساختار می‌تواند عملکرد پروتئین را تغییر دهد.
 نمونه‌هایی از پروتئین‌ها با ساختار سوم را بیان کنید., میوگلوبین یک نمونه از پروتئین‌ها با ساختار سوم است که در آن صفحات و مارپیچ‌ها به شکل کروی درآمده‌اند.
 چه زمانی ساختار چهارم پروتئین‌ها شکل می‌گیرد؟, ساختار چهارم پروتئین‌ها زمانی شکل می‌گیرد که دو یا چند زنجیره پلی پپتید در کنار یکدیگر قرار گیرند و پروتئین را تشکیل دهند.
 چه نقشی در شکل‌گیری پروتئین دارند؟, در ساختار چهارم، هر یک از زنجیره‌ها نقشی کلیدی در شکل‌گیری و ساختار نهایی پروتئین ایفا می‌کنند.
 چه نوع پروتئین‌هایی ساختار چهارم را دارند؟, پروتئین‌هایی که از دو یا چند زنجیره پلی پپتید تشکیل شده و نحوه آرایش آن زیر واحدها در کنار هم مهم است، ساختار چهارم دارند.
 چرا ساختار چهارم پروتئین‌ها مهم است؟, ساختار چهارم پروتئین‌ها تعیین‌کننده ویژگی‌ها و عملکرد آنهاست؛ نقش زیر واحدها در این ساختار به تشکیل ساختار نهایی و عملکرد پروتئین کمک می‌کند.
 هموگلوبین چه ترکیبی از زنجیره‌های پلی پپتید دارد؟, هموگلوبین چهار زنجیره از دو نوع متفاوت از زنجیره‌های پلی پپتید دارد.
 چگونه زنجیره‌های پلی پپتید در ساختار اول ترتیب خاصی از آمینواسیدها را دارند؟, در ساختار اول، هر زنجیره پلی پپتید ترتیب خاصی از آمینواسیدها را دارد که این ترتیب مشخص می‌کند که کدام آمینواسید در کجا قرار دارد.
 چگونه زنجیره‌های پلی پپتید در ساختار دوم ظاهر می‌شوند؟, در ساختار دوم، زنجیره‌های پلی پپتید به شکل مارپیچی به هم پیچیده می‌شوند.
 ساختار سوم چگونه شکل می‌گیرد؟, در ساختار سوم، هر زنجیره به صورت یک زیر واحد تاخورده شکل خاصی پیدا می‌کند و این زنجیره‌ها به صورت کروی در کنار هم قرار می‌گیرند.
 چگونه ساختار نهایی هموگلوبین شکل می‌گیرد؟, در ساختار چهارم، چهار زنجیره پلی پپتید مختلف در کنار هم قرار گرفته و به شکل نهایی هموگلوبین شکل می‌گیرند.
 پروتئین‌ها در چه فعالیت‌هایی شرکت دارند؟, فعالیت آنزیمی، سرعت واکنش‌های شیمیایی را افزایش می‌دهند.
 چه نقشی در ساختار و فعالیت‌های زیستی دارند؟, پروتئین‌ها نقش اساسی در کاتالیز و واکنش‌های زیستی دارند.
 چه ساختاری در پروتئین‌ها نقش اساسی در آرایش چهارم دارند؟, زنجیره‌های پلی پپتیدی در کنار یکدیگر قرار گرفته‌اند.
 نقش پروتئین‌ها در غشای یاخته‌ها چیست؟, به عنوان گیرنده‌ها مولکول‌ها را تشخیص می‌دهند.
